Athlete Name,Year,Team,Time,Event
"Camble, Micah",JR-3,Indiana,51.39,400H
"Elder, Clayton",JR-3,Alabama,51.4,400H
"Serrao, Christopher",FR-1,Rutgers,51.4,400H
"Archer, Devontie",FR-1,Arkansas,51.41,400H
"Lander, Dante",SR-4,Eastern Michigan,51.41,400H
"Cox, Zachary",SO-2,Idaho State,51.42,400H
"Nugent, Devin",FR-1,Pittsburgh,51.44,400H
"Hammock, Kendel",SR-4,Michigan State,51.48,400H
"Wilkinson, Matthew",SO-2,Washington,51.48,400H
"Fergusson, Nathan",SR-4,Louisiana,51.5,400H
"Graves, Tyler",JR-3,Coastal Carolina,51.5,400H
"Barker, Christion",FR-1,Miss State,51.56,400H
"Barton, Harry",FR-1,Youngstown St.,51.58,400H
"Smallwood, Kendrick",FR-1,Texas,51.59,400H
"Fullerton, Javel",FR-1,Southern Miss.,51.59,400H
"Perkins, Xayvion",SO-2,Syracuse,51.6,400H
"Wright, Landon",SO-2,Samford,51.6,400H
"Nelson, Garrett",JR-3,Colorado,51.62,400H
"Carlile, Spencer",SO-2,BYU,51.62,400H
"Burton, Terris",SR-4,High Point,51.68,400H
"Schittenhelm, Mark",JR-3,Queens (N.C.),51.73,400H
"Donaldson, Ivan",FR-1,Jackson State,51.73,400H
"White, Kendal",JR-3,South Alabama,51.76,400H
"Berg, Cory",JR-3,Nebraska,51.78,400H
"Waring, Zaire",FR-1,San Jose St.,51.8,400H
"Armstrong, Daniel",SR-4,Texas A&M-CC,51.8,400H
"Thompson, Jordan",SR-4,Southern,51.82,400H
"Lawrence, Felix",JR-3,Liberty,51.83,400H
"Davis, Deyondre",JR-3,Idaho,51.88,400H
"Mallard, Elijah",FR-1,Syracuse,51.89,400H
"Holmes, Jaylin",FR-1,Illinois State,51.91,400H
"Marchese, Jason",SO-2,Wagner,51.93,400H
"Farrell, Nathan",SO-2,Iowa,51.95,400H
"Jensen, Jace",SO-2,BYU,51.98,400H
"Grigg, Matthew",JR-3,Samford,52.04,400H
"Vaughn, Shaton",SR-4,Indiana,52.04,400H
"DeVaughn III, Vaughn",FR-1,Alabama State,52.04,400H
"Thompson, Thai",JR-3,Iowa State,52.04,400H
"Farr, Jeremy",JR-3,Arkansas,52.06,400H
"Davis, Kameron",SR-4,Howard,52.06,400H
